date,date_block_num,shop_id,item_id,item_price,item_cnt_day
14.01.2013,0,2,11330,149.0,1.0
14.01.2013,0,2,11331,149.0,1.0
14.01.2013,0,2,11332,149.0,1.0
11.01.2013,0,2,11015,199.0,1.0
07.01.2013,0,2,11030,149.0,1.0
03.01.2013,0,2,11041,348.85,2.0
08.01.2013,0,2,11221,149.0,1.0
07.01.2013,0,2,11244,149.0,1.0
06.01.2013,0,2,11388,899.0,1.0
10.01.2013,0,2,11388,899.0,1.0
19.01.2013,0,2,11389,899.0,1.0
16.01.2013,0,2,11391,899.0,1.0
02.01.2013,0,2,11392,899.0,1.0
09.01.2013,0,2,11250,549.0,1.0
18.01.2013,0,2,11417,499.0,1.0
19.01.2013,0,2,11444,119.0,1.0
02.01.2013,0,2,11483,699.0,1.0
02.01.2013,0,2,11501,149.0,1.0
13.01.2013,0,2,11506,149.0,1.0
19.01.2013,0,2,11544,249.0,1.0
05.01.2013,0,2,11545,249.0,1.0
19.01.2013,0,2,11560,249.0,1.0
07.01.2013,0,2,11590,149.0,1.0
01.01.2013,0,2,11828,1699.0,1.0
04.01.2013,0,2,11854,139.0,1.0
14.01.2013,0,2,10930,199.0,1.0
03.01.2013,0,2,11859,265.3,1.0
03.01.2013,0,2,10926,149.0,1.0
14.01.2013,0,2,10900,199.0,1.0
21.01.2013,0,2,9981,449.0,1.0
13.01.2013,0,2,9987,199.0,1.0
05.01.2013,0,2,10270,249.0,1.0
19.01.2013,0,2,10270,249.0,1.0
12.01.2013,0,2,10022,149.0,1.0
06.01.2013,0,2,10038,149.0,1.0
22.01.2013,0,2,10039,299.0,1.0
20.01.2013,0,2,10065,149.0,1.0
06.01.2013,0,2,10095,149.0,1.0
11.01.2013,0,2,10110,499.0,1.0
03.01.2013,0,2,10563,1699.0,1.0
08.01.2013,0,2,10391,199.0,1.0
11.01.2013,0,2,10591,199.0,2.0
24.01.2013,0,2,10591,199.0,1.0
22.01.2013,0,2,10423,1199.0,1.0
12.01.2013,0,2,10637,750.0,1.0
18.01.2013,0,2,10658,599.0,1.0
21.01.2013,0,2,10658,599.0,1.0
22.01.2013,0,2,10658,599.0,1.0
19.01.2013,0,2,10669,750.0,1.0
15.01.2013,0,2,10457,299.0,1.0
08.01.2013,0,2,10743,149.0,1.0
11.01.2013,0,2,10848,249.0,1.0
19.01.2013,0,2,11304,349.0,1.0
20.01.2013,0,2,11305,499.0,1.0
09.01.2013,0,2,10904,149.0,1.0
07.01.2013,0,2,11861,124.85,2.0
18.01.2013,0,2,11867,69.3,1.0
07.01.2013,0,2,11868,153.3,1.0
10.01.2013,0,2,13071,499.0,1.0
13.01.2013,0,2,13071,499.0,1.0
15.01.2013,0,2,13071,499.0,1.0
02.01.2013,0,2,12331,149.0,1.0
03.01.2013,0,2,12359,99.0,1.0
25.01.2013,0,2,12361,149.0,1.0
04.01.2013,0,2,13085,349.0,1.0
21.01.2013,0,2,13101,1990.0,1.0
02.01.2013,0,2,13102,1290.0,1.0
03.01.2013,0,2,13102,1290.0,2.0
18.01.2013,0,2,13102,1290.0,1.0
19.01.2013,0,2,13102,1290.0,1.0
23.01.2013,0,2,12442,149.0,1.0
06.01.2013,0,2,13155,249.0,2.0
18.01.2013,0,2,12565,199.0,1.0
03.01.2013,0,2,12588,149.0,1.0
04.01.2013,0,2,13175,749.0,1.0
21.01.2013,0,2,13204,299.0,1.0
16.01.2013,0,2,13344,25.0,1.0
17.01.2013,0,2,13344,25.0,1.0
17.01.2013,0,2,13345,25.0,1.0
22.01.2013,0,2,13345,25.0,4.0
12.01.2013,0,2,13350,30.0,3.0
23.01.2013,0,2,13350,30.0,1.0
16.01.2013,0,2,13354,30.0,2.0
08.01.2013,0,2,13071,499.0,1.0
03.01.2013,0,2,13071,499.0,3.0
02.01.2013,0,2,13071,499.0,2.0
17.01.2013,0,2,12286,100.0,1.0
02.01.2013,0,2,11744,499.0,1.0
03.01.2013,0,2,11759,58.0,1.0
04.01.2013,0,2,11884,249.0,1.0
11.01.2013,0,2,11899,149.0,1.0
13.01.2013,0,2,12114,2199.0,1.0
01.01.2013,0,2,12134,299.0,1.0
09.01.2013,0,2,12134,299.0,1.0
21.01.2013,0,2,12134,299.0,1.0
23.01.2013,0,2,12134,299.0,1.0
02.01.2013,0,2,12135,299.0,1.0
03.01.2013,0,2,12135,299.0,1.0
11.01.2013,0,2,12135,299.0,1.0
03.01.2013,0,2,9981,449.0,1.0
02.01.2013,0,2,12137,98.0,1.0
17.01.2013,0,2,12168,189.0,1.0
02.01.2013,0,2,12184,539.0,1.0
10.01.2013,0,2,12184,539.0,1.0
17.01.2013,0,2,12184,539.0,1.0
05.01.2013,0,2,12190,274.5,1.0
22.01.2013,0,2,12190,274.0,1.0
24.01.2013,0,2,11992,499.0,1.0
12.01.2013,0,2,12002,149.0,1.0
03.01.2013,0,2,12269,1499.0,1.0
14.01.2013,0,2,12269,1499.0,1.0
02.01.2013,0,2,12275,549.0,1.0
20.01.2013,0,2,12275,549.0,1.0
20.01.2013,0,2,12146,28.0,1.0
23.01.2013,0,2,13354,30.0,2.0
02.01.2013,0,2,9977,1199.0,1.0
11.01.2013,0,2,9768,799.0,1.0
18.01.2013,0,2,7737,199.0,1.0
03.01.2013,0,2,7814,3890.0,1.0
19.01.2013,0,2,7819,8490.0,1.0
07.01.2013,0,2,7699,149.0,1.0
02.01.2013,0,2,7850,199.0,1.0
11.01.2013,0,2,7850,199.0,1.0
12.01.2013,0,2,7850,199.0,1.0
02.01.2013,0,2,7857,299.0,1.0
11.01.2013,0,2,7857,299.0,1.0
12.01.2013,0,2,7857,299.0,1.0
02.01.2013,0,2,7860,399.0,1.0
11.01.2013,0,2,7860,399.0,1.0
17.01.2013,0,2,7860,399.0,1.0
12.01.2013,0,2,7856,799.0,1.0
17.01.2013,0,2,7856,799.0,1.0
02.01.2013,0,2,7867,299.5,-1.0
06.01.2013,0,2,7867,599.0,1.0
08.01.2013,0,2,7867,599.0,1.0
23.01.2013,0,2,7875,599.0,1.0
03.01.2013,0,2,7893,1990.0,1.0
12.01.2013,0,2,7893,1990.0,1.0
16.01.2013,0,2,7893,1990.0,1.0
15.01.2013,0,2,7894,1490.0,1.0
11.01.2013,0,2,7895,899.0,2.0
16.01.2013,0,2,7895,899.0,1.0
12.01.2013,0,2,7737,199.0,1.0
17.01.2013,0,2,7895,899.0,1.0
04.01.2013,0,2,7737,199.0,1.0
04.01.2013,0,2,7738,199.0,1.0
04.01.2013,0,2,6911,599.0,1.0
19.01.2013,0,2,6911,599.0,1.0
01.01.2013,0,2,6916,999.5,1.0
12.01.2013,0,2,6916,1999.0,1.0
07.01.2013,0,2,6917,999.5,1.0
05.01.2013,0,2,6919,299.5,1.0
09.01.2013,0,2,6953,399.0,1.0
10.01.2013,0,2,6953,399.0,1.0
12.01.2013,0,2,6953,399.0,1.0
21.01.2013,0,2,6953,399.0,1.0
06.01.2013,0,2,7081,449.0,1.0
04.01.2013,0,2,7169,1699.0,1.0
06.01.2013,0,2,7169,1699.0,1.0
11.01.2013,0,2,7169,849.5,2.0
16.01.2013,0,2,7169,1699.0,1.0
17.01.2013,0,2,7169,849.5,1.0
20.01.2013,0,2,7169,1699.0,1.0
19.01.2013,0,2,7171,1699.0,1.0
03.01.2013,0,2,7220,1998.4,1.0
11.01.2013,0,2,7220,1999.0,1.0
19.01.2013,0,2,7220,1999.0,1.0
23.01.2013,0,2,7220,1999.0,1.0
05.01.2013,0,2,7221,899.0,1.0
24.01.2013,0,2,7226,1699.0,1.0
03.01.2013,0,2,7245,499.0,1.0
18.01.2013,0,2,7738,199.0,1.0
23.01.2013,0,2,7938,15990.0,1.0
09.01.2013,0,2,7945,13990.0,1.0
11.01.2013,0,2,7945,13990.0,1.0
13.01.2013,0,2,8660,248.0,1.0
